Timestamp,What is your age?,What is your highest level of education?,"What is your job? (Say ""N/A"" if not applicable, and ""Student"" if you're a student)","How familiar are you with visual art? (Paintings, digital, sketches, etc.)","Please describe your experience with art in a sentence, including mediums if you are an artist. If you have no familiarity with art, say ""None.""",How familiar are you with artificial intelligence (AI)?,What's your opinion on AI-generated art?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?
12/3/2023 23:18:38,18,Some College,Student,2,None ,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:19:58,18,Some College,Student,5,Art classes in high school ,5,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1
12/3/2023 23:20:18,20,Some College,Student,3,None,4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:21:24,19,Associates or Vocational Degree,Student,3,Have taken a few art classes in community college,4,Positive Opinion,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2
12/3/2023 23:22:17,19,High School or Equivalent,student,4,i like drawing and painting,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:22:26,19,Some College,Student ,2,I like to look at it ,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1
12/3/2023 23:22:45,18,Some College,Student,1,None ,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:23:54,21,Some College,Student,3,Art class and making memes,5,Positive Opinion,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:24:08,19,Some College,Student,5,I am both a digital and a physical artist ,3,Negative Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:24:19,18,Some College,Student,4,"I participate in art for fun, using mediums of Acrylics, Pottery, Pen, Watercolor",3,Positive Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:25:10,21,Associates or Vocational Degree,Student ,3,"Some art experience, acrylic paints, sketching ",4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:25:25,18,Some College,Student,3,Na,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:25:27,20,Some College,Student,1,None,2,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:25:45,19,High School or Equivalent,Student and sales associate ,1,Took art fundamentals in high school ,2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:25:51,18,Some College,Graphics Student worker and Student,5,"I have an Art minor, and I’m very interested in making it and looking at it.",3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:26:17,21,Some College,Student,2, ,3,Neutral Opinion/Don't Care,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:26:21,20,Some College,student,4,I’m a hobbyist watercolor and digital artist that also experiments in any other medium put in front of me. ,3,Negative Opinion,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:26:48,19,Some College,Student,2,Required art classes in high school,2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:26:57,19,Some College,student,2,taken elementary art classes,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:28:21,18,High School or Equivalent,"Student, coach, landscaper",4,I go to art museaums fairly often and i have gained a fair amount of experience from my father who has an MFA in photography. I am more of an musician though.,2,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:28:30,21,Some College,Student,4,Occasionally paint with acrylic on canvas,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:28:39,18,Some College,Student,2,I dabble in doodling from time to time,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:28:40,19,Some College,Student,3,"I like looking at it, especially online, but not making it",4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:28:59,18,Some College,Student,2,"I took an art class in high school, in which we used paints, paper, clay, and watercolor.",2,Negative Opinion,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:29:02,18,Some College,Canes employee,5,"i do digital art, painting, charcoal, graphite, and marker art, and ive been drawing for 15 years",3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:31:04,20,Some College,Student,2,None,4,Negative Opinion,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1
